"student_spending","hours_study","social_outings","fin_lit","living_arr","funding","distance"
1737.18245403333,20.5161948275823,3,47.6851995432,"On-campus",0,0.182119238112004
3052.53951587053,23.1585800841338,2,55.3911415051704,"Off-campus",0,6.68897146885415
3960.94273008622,37.469666513193,3,46.468529871908,"Apartment",0,2.20733883926403
2969.74521436391,25.5640671313966,5,69.4060311467248,"Off-campus",1,5.21086166179351
1607.10356458774,26.0343018812876,2,76.8053254263916,"On-campus",0,0.327438460661766
1152.08481969022,38.7205198950662,4,91.9082032874029,"On-campus",0,0.20243786046612
3526.9805262207,28.6873296479136,4,65.4917157439758,"Off-campus",0,11.6539675617733
3103.48362088839,14.8795101231477,10,46.8782793420947,"On-campus",0,0.351900809628437
3059.7566299158,19.5051771848518,8,75.3671229448984,"Apartment",1,10.4392971846458
2827.79086879395,21.4347042392003,5,73.5713834054297,"Off-campus",1,7.7890927640481
2782.66873614149,34.7926543795157,9,56.4262695614576,"On-campus",1,0.4541955459993
3306.52640059218,27.8785106164589,10,36.6321764419153,"Off-campus",0,5.98546633146247
1634.02525916619,28.2061716047524,3,71.4196484309087,"On-campus",0,0.292193117413682
1802.58394093649,25.885461727561,6,76.9371659346244,"On-campus",1,0.200357833230677
2325.07725046519,20.5532709219674,5,55.573382539411,"On-campus",0,0.299096141282603
3006.28478752155,39.2953050944246,2,68.0436422753704,"Off-campus",0,13.853630322121
3411.34475137048,28.9828038258339,5,55.8616428787423,"Off-campus",0,8.49751306591723
3403.80969298411,9.26706274696289,6,70.2347286770627,"Off-campus",0,13.8149633753324
2880.47804528254,30.6108472125095,3,58.2406392792773,"On-campus",1,0.32884037860305
4053.29182253482,21.2176687381765,9,54.8298620411991,"Apartment",1,6.60389808136091
1432.27903597131,16.4574103521052,7,61.6743074729582,"On-campus",0,0.374299900805133
3282.18219517868,23.2562006827336,5,55.7489202752656,"Off-campus",1,6.16304628151412
4129.8702462632,16.7919644135421,9,51.1347425331857,"Off-campus",0,14.7390369250157
4039.90837308512,19.1688701656709,8,55.260946031364,"Apartment",1,8.58633606721403
3568.15624391233,19.9996858572059,4,59.877717715117,"Apartment",0,0.119428371718367
3696.78704879157,11.5064535140607,9,63.1124271107771,"Off-campus",0,6.11131967957588
2843.72761934526,31.7022963559562,8,82.9863543243876,"Off-campus",0,1.47051229285185
4069.1304762933,26.2269849426921,8,39.6300325356977,"Apartment",1,0.713421224378411
2538.54223659629,15.8949045039044,8,57.0057142417059,"On-campus",1,0.28456406998779
3316.70207647606,35.0305193685594,4,69.4728469167124,"Apartment",0,10.5914425467905
2738.93105806026,28.4117137718145,3,86.430313551643,"Off-campus",1,4.95429244533875
3925.4970184858,22.6394281360618,6,66.3902154392324,"Apartment",1,2.68463069550424
1794.0870621492,32.1610052883602,0,59.793698752869,"On-campus",1,0.188768123359396
3067.79394681963,32.0250679002643,3,55.3866463560546,"Apartment",1,1.79789891059807
4837.62336685209,31.5726486530999,8,66.2146224616243,"Apartment",0,10.8120071806003
